City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Torbay,CA,47.6666,-52.7314,33.76,94,100,19.57,mist
1,Yola,NG,9.2,12.4833,85.08,48,94,2.55,overcast clouds
2,Tagusao,PH,9.1924,117.8141,82.22,75,100,6.53,overcast clouds
3,Cape Town,ZA,-33.9258,18.4232,64.11,86,0,18.41,clear sky
4,Burns Lake,CA,54.2331,-125.7533,31.42,42,100,6.11,overcast clouds
5,Aykhal,RU,66.0,111.5,21.07,93,89,15.9,overcast clouds
6,Abaza,RU,52.655,90.0928,28.44,64,2,3.67,clear sky
7,Busselton,AU,-33.65,115.3333,61.16,65,0,8.41,clear sky
8,Binga,ZW,-17.6203,27.3414,70.92,75,59,2.68,broken clouds
9,Hermanus,ZA,-34.4187,19.2345,63.81,87,100,8.32,overcast clouds
10,Tiksi,RU,71.6872,128.8694,-0.81,96,100,6.44,overcast clouds
11,Aurillac,FR,44.9167,2.45,45.01,87,97,4.61,overcast clouds
12,Rikitea,PF,-23.1203,-134.9692,77.85,71,12,18.34,light rain
13,Hilo,US,19.7297,-155.09,87.28,84,100,5.75,light rain
14,Kruisfontein,ZA,-34.0033,24.7314,57.88,83,24,7.96,few clouds
15,Ostrovnoy,RU,68.0531,39.5131,10.18,97,82,7.09,broken clouds
16,Noumea,NC,-22.2763,166.4572,84.18,99,25,8.1,scattered clouds
17,Birao,CF,10.2849,22.7882,79.3,49,56,3.15,broken clouds
18,Qaanaaq,GL,77.484,-69.3632,-2.07,93,100,5.99,overcast clouds
19,Yellowknife,CA,62.456,-114.3525,14.29,63,0,9.22,clear sky
20,Upernavik,GL,72.7868,-56.1549,-8.0,99,94,7.61,overcast clouds
21,Rocha,UY,-34.4833,-54.3333,50.0,78,0,5.19,clear sky
22,Macheng,CN,31.1783,115.0319,59.61,60,80,5.14,broken clouds
23,Pevek,RU,69.7008,170.3133,6.96,83,100,4.34,overcast clouds
24,Mizan Teferi,ET,6.9833,35.5833,62.38,78,44,3.8,light rain
25,Carnarvon,AU,-24.8667,113.6333,69.87,64,0,14.97,clear sky
26,Punta Arenas,CL,-53.15,-70.9167,50.11,87,20,19.57,few clouds
27,Vaini,TO,-21.2,-175.2,84.36,89,20,9.22,few clouds
28,Mount Isa,AU,-20.7333,139.5,89.37,25,11,10.36,few clouds
29,Sembe,CG,1.6481,14.5806,70.38,99,100,3.29,overcast clouds
30,Sorland,NO,67.667,12.6934,38.57,72,15,9.89,few clouds
31,Mataura,NZ,-46.1927,168.8643,61.48,53,21,4.68,few clouds
32,Hay River,CA,60.8156,-115.7999,12.18,62,0,11.5,clear sky
33,Vila Velha,BR,-20.3297,-40.2925,82.35,87,0,6.91,clear sky
34,Port Alfred,ZA,-33.5906,26.891,62.19,93,94,3.0,overcast clouds
35,Djambala,CG,-2.5447,14.7533,69.15,91,100,3.33,overcast clouds
36,Hobart,AU,-42.8794,147.3294,62.26,66,0,9.22,clear sky
37,Nikolskoye,RU,59.7035,30.7861,35.8,94,89,2.35,overcast clouds
38,Esperance,AU,-33.8667,121.9,62.44,76,97,15.77,overcast clouds
39,Mumford,GH,5.2618,-0.759,80.49,83,99,10.96,overcast clouds
40,Dikson,RU,73.5069,80.5464,19.51,96,100,9.19,overcast clouds
41,Bengkulu,ID,-3.8004,102.2655,79.43,79,52,2.48,broken clouds
42,Puerto Ayora,EC,-0.7393,-90.3518,76.89,88,99,6.82,overcast clouds
43,Mayo,US,38.8876,-76.5119,80.76,64,0,10.36,clear sky
44,Talnakh,RU,69.4865,88.3972,29.21,96,100,5.66,light snow
45,Sibolga,ID,1.7427,98.7792,80.53,78,98,1.36,overcast clouds
46,Flinders,AU,-34.5833,150.8552,72.37,75,0,5.01,clear sky
47,Naze,JP,28.3667,129.4833,72.52,84,96,7.96,overcast clouds
48,Albany,US,42.6001,-73.9662,65.91,73,77,3.78,broken clouds
49,Caravelas,BR,-17.7125,-39.2481,76.12,87,47,5.82,scattered clouds
50,Port Hardy,CA,50.6996,-127.4199,48.38,53,75,12.66,broken clouds
51,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.68,89,100,6.76,overcast clouds
52,Mahebourg,MU,-20.4081,57.7,79.25,88,75,11.5,broken clouds
53,Oussouye,SN,12.485,-16.5469,69.98,77,100,11.01,overcast clouds
54,Narsaq,GL,60.9167,-46.05,48.42,60,100,6.51,overcast clouds
55,Gawler,AU,-34.6,138.7333,77.09,26,100,5.84,overcast clouds
56,Tadine,NC,-21.55,167.8833,79.97,65,20,5.84,few clouds
57,Harper,LR,4.375,-7.7169,78.04,85,100,7.81,overcast clouds
58,Half Moon Bay,US,37.4636,-122.4286,61.03,60,0,18.41,clear sky
59,Algeciras,ES,36.1333,-5.4505,55.15,91,7,9.33,clear sky
60,Dicabisagan,PH,17.0818,122.4157,83.03,66,33,2.39,scattered clouds
61,Faanui,PF,-16.4833,-151.75,81.41,73,17,14.03,few clouds
62,Severo-Kurilsk,RU,50.6789,156.125,30.45,78,96,26.64,light snow
63,Ribeira Grande,PT,38.5167,-28.7,59.52,59,0,14.16,clear sky
64,Saint-Augustin,CA,51.226,-58.6502,30.94,94,100,3.94,overcast clouds
65,Coruripe,BR,-10.1256,-36.1756,77.56,85,10,8.37,clear sky
66,Tambopata,PE,-12.7333,-69.1833,73.98,97,84,0.56,broken clouds
67,Kapaa,US,22.0752,-159.319,84.18,74,75,12.66,broken clouds
68,Acarau,BR,-2.8856,-40.12,78.01,86,76,7.27,broken clouds
69,Manaure,CO,11.7751,-72.4445,79.77,74,9,20.98,clear sky
70,Saint George,US,37.1041,-113.5841,63.63,8,0,20.71,clear sky
71,Grants Pass,US,42.439,-123.3284,45.81,87,40,3.44,haze
72,Pisco,PE,-13.7,-76.2167,66.02,82,0,13.8,clear sky
73,Sur,OM,22.5667,59.5289,85.05,32,7,5.75,clear sky
74,Vardo,NO,70.3705,31.1107,29.79,81,86,7.92,overcast clouds
75,Loandjili,CG,-4.7561,11.8578,77.18,90,37,1.72,scattered clouds
76,Fort Nelson,CA,58.8053,-122.7002,27.99,24,20,4.61,few clouds
77,Cam Ranh,VN,11.9214,109.1591,78.76,78,20,3.44,few clouds
78,Vostok,RU,46.4856,135.8833,36.84,52,99,6.93,overcast clouds
79,Airai,TL,-8.9266,125.4092,71.87,65,100,0.74,overcast clouds
80,Bousso,TD,10.4795,16.7117,89.33,36,99,3.13,overcast clouds
81,Khatanga,RU,71.9667,102.5,6.51,93,100,7.78,overcast clouds
82,Lagoa,PT,39.05,-27.9833,58.28,64,0,19.26,clear sky
83,Cururupu,BR,-1.8283,-44.8683,74.61,96,100,2.44,overcast clouds
84,Palembang,ID,-2.9167,104.7458,77.09,94,40,2.3,mist
85,Klaksvik,FO,62.2266,-6.589,43.72,86,34,17.67,scattered clouds
86,Lebu,CL,-37.6167,-73.65,52.21,89,0,16.28,clear sky
87,Ushuaia,AR,-54.8,-68.3,53.26,58,40,29.93,scattered clouds
88,De Panne,BE,51.0792,2.5917,50.05,92,0,4.61,clear sky
89,Oranjemund,NA,-28.55,16.4333,57.74,90,100,4.34,overcast clouds
90,Hamilton,US,39.1834,-84.5333,67.23,87,75,10.36,broken clouds
91,Marawi,PH,7.9986,124.2928,76.59,70,100,2.21,overcast clouds
92,Jurm,AF,36.8648,70.8342,55.67,68,100,1.01,overcast clouds
93,Aklavik,CA,68.2191,-135.0107,8.1,75,1,10.16,clear sky
94,San Patricio,US,28.017,-97.5169,92.12,82,0,11.77,clear sky
95,Gopalpur,IN,19.2667,84.9167,81.63,77,5,17.02,clear sky
96,Fortuna Foothills,US,32.6578,-114.4119,77.22,8,0,10.36,clear sky
97,Anadyr,RU,64.75,177.4833,27.1,92,75,31.32,broken clouds
98,Rengo,CL,-34.4167,-70.8667,63.73,21,0,3.04,clear sky
99,Pangnirtung,CA,66.1451,-65.7125,-6.95,97,82,5.79,broken clouds
100,Coronel Bogado,PY,-27.1833,-56.3,70.29,75,1,10.04,clear sky
101,New Norfolk,AU,-42.7826,147.0587,61.92,55,100,3.6,overcast clouds
102,Iqaluit,CA,63.7506,-68.5145,-0.67,78,20,17.27,few clouds
103,Bredasdorp,ZA,-34.5322,20.0403,62.71,84,100,4.54,overcast clouds
104,Saldanha,ZA,-33.0117,17.9442,62.65,89,100,19.77,overcast clouds
105,Umba,RU,66.6871,34.3429,24.15,94,100,2.21,overcast clouds
106,Sao Filipe,CV,14.8961,-24.4956,71.38,76,75,5.46,broken clouds
107,Jamestown,US,42.097,-79.2353,66.18,62,40,5.75,scattered clouds
108,Matara,LK,5.9485,80.5353,77.95,88,97,3.91,overcast clouds
109,Chimoio,MZ,-19.1164,33.4833,65.59,97,36,2.75,scattered clouds
110,Orthez,FR,43.4884,-0.7724,59.77,96,100,1.63,overcast clouds
111,Antalaha,MG,-14.9003,50.2788,73.15,87,5,6.6,clear sky
112,Sao Paulo Do Potengi,BR,-5.895,-35.7628,80.71,91,41,1.34,scattered clouds
113,Kaitangata,NZ,-46.2817,169.8464,61.54,54,17,6.82,few clouds
114,Arlit,NE,18.7369,7.3853,84.85,9,0,4.72,clear sky
115,Hofn,IS,64.2539,-15.2082,39.96,90,100,13.11,overcast clouds
116,Silvan,TR,38.1419,41.0081,30.49,49,0,1.34,clear sky
117,Svetlyy,RU,54.675,20.1347,43.97,68,100,9.22,overcast clouds
118,Santa Maria,BR,-29.6842,-53.8069,63.7,88,75,3.44,broken clouds
119,Pyshma,RU,56.9523,63.2513,39.24,94,99,5.64,overcast clouds
120,Bambous Virieux,MU,-20.3428,57.7575,79.21,88,75,11.5,light rain
121,Hasaki,JP,35.7333,140.8333,54.28,86,100,26.08,overcast clouds
122,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,55.53,71,0,7.56,clear sky
123,Valdivia,CL,-39.8142,-73.2459,47.88,91,0,3.27,clear sky
124,Saint-Philippe,RE,-21.3585,55.7679,74.79,89,52,14.0,light rain
125,Bethel,US,41.3712,-73.414,66.29,72,0,4.61,clear sky
126,Port Elizabeth,ZA,-33.918,25.5701,63.32,94,0,16.11,clear sky
127,Tongren,CN,27.7172,109.1853,61.39,77,94,3.11,overcast clouds
128,Bluff,NZ,-46.6,168.3333,61.81,77,79,19.35,broken clouds
129,Sola,VU,-13.8833,167.55,84.87,74,75,0.0,broken clouds
130,Tommot,RU,58.9564,126.2925,33.12,76,100,11.05,overcast clouds
131,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,90,90,7.7,overcast clouds
132,Durban,ZA,-29.8579,31.0292,69.03,87,0,1.99,clear sky
133,Katsuura,JP,35.1333,140.3,57.22,88,100,23.02,overcast clouds
134,Longyearbyen,SJ,78.2186,15.6401,17.44,67,75,3.44,broken clouds
135,Avarua,CK,-21.2078,-159.775,84.25,74,20,5.75,few clouds
136,Georgetown,MY,5.4112,100.3354,80.53,93,20,3.44,few clouds
137,Barrow,US,71.2906,-156.7887,-0.38,78,0,9.22,clear sky
138,La Asuncion,VE,11.0333,-63.8628,67.73,100,6,14.97,clear sky
139,Milkovo,RU,54.7167,158.6167,30.61,78,100,1.88,overcast clouds
140,Biltine,TD,14.5333,20.9167,85.03,10,0,15.5,clear sky
141,Saint-Joseph,RE,-21.3667,55.6167,73.78,87,38,13.8,light rain
142,Samarai,PG,-10.6167,150.6667,84.79,72,11,12.46,few clouds
143,El Jicaro,GT,14.9167,-89.9,90.93,67,47,3.69,scattered clouds
144,Bodden Town,KY,19.2833,-81.25,82.4,74,20,9.22,few clouds
145,Mariental,NA,-24.6333,17.9667,67.42,21,0,6.35,clear sky
146,Madang,PG,-5.2246,145.7966,79.57,85,100,0.67,overcast clouds
147,Souillac,MU,-20.5167,57.5167,77.38,88,75,11.5,broken clouds
148,Melo,UY,-32.3667,-54.1833,52.41,57,0,8.08,clear sky
149,Kirkland Lake,CA,48.1446,-80.0377,37.69,87,100,9.48,light rain
150,Mangan,IN,27.5167,88.5333,71.24,74,66,2.17,broken clouds
151,Husavik,IS,66.0449,-17.3389,33.6,83,50,15.5,scattered clouds
152,Boituva,BR,-23.2833,-47.6722,66.61,94,100,2.93,overcast clouds
153,Kargasok,RU,59.0556,80.8572,31.05,96,22,5.12,few clouds
154,Isetskoye,RU,56.4858,65.3226,42.78,88,89,8.81,overcast clouds
155,Ondjiva,AO,-17.0667,15.7333,65.35,89,100,5.28,light rain
156,Poltavka,RU,54.3663,71.7632,42.08,76,28,9.53,scattered clouds
157,Ballina,AU,-28.8667,153.5667,69.78,88,40,14.97,scattered clouds
158,Fortuna,US,40.5982,-124.1573,47.93,88,75,23.02,light rain
159,Isangel,VU,-19.55,169.2667,87.91,70,75,6.91,broken clouds
160,Ulladulla,AU,-35.35,150.4667,68.9,61,0,5.26,clear sky
161,Tuktoyaktuk,CA,69.4541,-133.0374,1.4,71,75,14.97,broken clouds
162,Charters Towers,AU,-20.1,146.2667,83.82,40,10,16.33,clear sky
163,Bontang,ID,0.1333,117.5,80.44,71,100,5.3,overcast clouds
164,Sale,MA,34.0389,-6.8166,55.74,100,40,0.0,scattered clouds
165,Provideniya,RU,64.3833,-173.3,28.51,93,100,20.13,light snow
166,Hamadan,IR,34.7992,48.5146,52.68,16,0,2.3,clear sky
167,Thompson,CA,55.7435,-97.8558,23.16,63,75,23.02,broken clouds
168,Lavrentiya,RU,65.5833,-171.0,26.76,85,100,13.42,overcast clouds
169,Castro,BR,-24.7911,-50.0119,61.56,97,11,0.47,few clouds
170,Byron Bay,AU,-28.65,153.6167,69.71,70,99,12.95,overcast clouds
171,Marshall,US,34.3834,-86.3333,75.51,59,0,10.36,clear sky
172,Boralday,KZ,43.3578,76.8594,49.86,71,75,2.24,broken clouds
173,Tura,IN,25.5198,90.2201,74.44,93,79,9.82,broken clouds
174,Pochutla,MX,15.7432,-96.4661,82.81,67,99,7.09,overcast clouds
175,Ishigaki,JP,24.3448,124.1572,77.13,88,75,3.44,broken clouds
176,Atuona,PF,-9.8,-139.0333,78.98,78,69,18.3,light rain
177,Sechura,PE,-5.5569,-80.8222,70.77,71,100,17.31,overcast clouds
178,Guerrero Negro,MX,27.9769,-114.0611,63.28,58,56,20.62,broken clouds
179,Alghero,IT,40.5589,8.3181,53.69,82,0,10.36,clear sky
180,Norheimsund,NO,60.3709,6.1456,43.21,97,100,5.03,overcast clouds
181,Kavaratti,IN,10.5669,72.642,80.58,82,100,21.36,overcast clouds
182,Domoni,KM,-12.2569,44.5319,78.98,80,68,3.65,broken clouds
183,Lukulu,ZM,-14.3707,23.242,66.22,79,100,5.1,overcast clouds
184,Mandalgovi,MN,45.7625,106.2708,30.13,42,100,16.55,overcast clouds
185,Luderitz,NA,-26.6481,15.1594,60.42,83,6,10.09,clear sky
186,Irara,BR,-12.05,-38.7667,71.06,82,15,6.4,light rain
187,Atambua,ID,-9.1061,124.8925,81.1,68,100,1.43,overcast clouds
188,Tahoua,NE,14.8888,5.2692,90.14,21,46,9.08,scattered clouds
189,Taoudenni,ML,22.6783,-3.9836,80.08,14,0,10.42,clear sky
190,Russell,US,32.3502,-85.1999,74.8,67,20,11.5,few clouds
191,Kloulklubed,PW,7.0419,134.2556,81.1,80,100,17.07,light rain
192,Puerto Narino,CO,-3.7703,-70.3831,75.15,96,100,1.3,light rain
193,Saskylakh,RU,71.9167,114.0833,1.06,95,100,9.95,overcast clouds
194,Tera,NE,14.0078,0.7531,93.49,27,100,10.54,overcast clouds
195,Horia,RO,45.0167,28.45,49.23,56,100,13.98,overcast clouds
196,Serebryansk,KZ,49.6925,83.2892,32.95,76,0,3.44,clear sky
197,Geraldton,AU,-28.7667,114.6,66.61,77,0,11.5,clear sky
198,Yeppoon,AU,-23.1333,150.7333,78.58,71,26,14.12,scattered clouds
199,Kirakira,SB,-10.4544,161.9205,86.2,67,25,8.75,scattered clouds
200,Ende,ID,-8.8432,121.6623,81.81,81,98,0.18,overcast clouds
201,Nombre De Dios,MX,23.85,-104.2333,75.81,8,53,13.49,broken clouds
202,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.3,79,25,6.29,scattered clouds
203,Hithadhoo,MV,-0.6,73.0833,83.75,73,100,9.8,overcast clouds
204,Inirida,CO,3.8653,-67.9239,77.23,89,100,2.84,overcast clouds
205,Shu,KZ,43.5983,73.7614,54.97,55,100,3.83,overcast clouds
206,Juneau,US,58.3019,-134.4197,42.8,25,20,11.5,few clouds
207,Vrangel,RU,42.7297,133.0839,42.66,65,100,5.12,overcast clouds
208,Tupelo,US,34.2576,-88.7034,73.69,78,100,6.91,thunderstorm with rain
209,Tuatapere,NZ,-46.1333,167.6833,61.0,56,61,2.01,broken clouds
210,Grand Gaube,MU,-20.0064,57.6608,79.38,83,29,8.99,scattered clouds
211,Dneprovskaya,RU,45.6236,38.8081,41.85,91,100,28.48,light rain
212,Semey,KZ,50.4111,80.2275,32.22,86,0,6.71,clear sky
213,Solenzo,BF,12.1833,-4.0833,90.95,20,99,7.18,overcast clouds
214,Mar Del Plata,AR,-38.0023,-57.5575,57.87,82,0,5.01,clear sky
215,Norman Wells,CA,65.282,-126.8329,26.64,50,100,21.85,overcast clouds
216,Leh,IN,34.1667,77.5833,31.59,82,81,3.42,broken clouds
217,Darnah,LY,32.767,22.6367,57.33,74,100,12.28,overcast clouds
218,Sioux Lookout,CA,50.1001,-91.917,30.27,93,100,6.91,snow
219,Kibala,TD,9.1104,18.3463,82.35,69,0,6.91,clear sky
220,Zhanaozen,KZ,43.3,52.8,49.05,61,0,12.01,clear sky
221,Parry Sound,CA,45.3501,-80.033,51.85,87,100,10.85,overcast clouds
222,Porto Novo,BJ,6.4965,2.6036,80.28,82,100,7.2,overcast clouds
223,Chokurdakh,RU,70.6333,147.9167,2.89,87,6,3.96,clear sky
224,Evensk,RU,61.95,159.2333,26.8,86,100,9.93,overcast clouds
225,Baykit,RU,61.67,96.37,36.03,88,100,11.7,overcast clouds
226,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,77.86,73,52,3.91,broken clouds
227,Nanortalik,GL,60.1432,-45.2371,35.06,83,100,2.62,overcast clouds
228,Gweru,ZW,-19.45,29.8167,60.26,83,34,4.14,scattered clouds
229,Calvia,ES,39.5657,2.5062,58.91,73,100,16.91,overcast clouds
230,Ukiah,US,39.1502,-123.2078,53.44,76,100,11.5,overcast clouds
231,Palmer,US,42.1584,-72.3287,66.81,55,75,9.22,broken clouds
